scenario_id,load_scale,phase_a_factor,phase_b_factor,phase_c_factor,pv_scale,bess_p_discharge_mw,mode,contingency_id,contingency_type,element_table,element_index,element_name,description,converged,power_flow_run,pf_status,min_vm_pu,max_vm_pu,max_vuf_percent,max_line_loading_percent,p_grid_mw,unserved_load_mw,critical_unserved_load_mw,n_unserved_buses,non_convergence_violation,service_loss_violation,critical_service_loss_violation,voltage_low_violation,voltage_high_violation,loading_violation,vuf_violation,violation_label,severity_score,state_restoration_passed
evening_peak_bess_discharge,1.35,1.05,1.2,1.0,0.05,0.009,grid_connected,line_0_out,line_outage,line,0,L0_PCC_to_main,Open line L0_PCC_to_main,False,False,service_loss_skip,,,,,,0.10023750000000001,0.03948750000000001,5,False,True,True,False,False,False,False,True,1.0,True
evening_peak_bess_discharge,1.35,1.05,1.2,1.0,0.05,0.009,grid_connected,line_1_out,line_outage,line,1,L1_main_to_critical,Open line L1_main_to_critical,False,False,service_loss_skip,,,,,,0.07641,0.03948750000000001,4,False,True,True,False,False,False,False,True,1.0,True
evening_peak_bess_discharge,1.35,1.05,1.2,1.0,0.05,0.009,grid_connected,line_2_out,line_outage,line,2,L2_main_to_residential,Open line L2_main_to_residential,False,False,service_loss_skip,,,,,,0.0238275,0.0,1,False,True,False,False,False,False,False,True,1.0,True
evening_peak_bess_discharge,1.35,1.05,1.2,1.0,0.05,0.009,grid_connected,line_3_out,line_outage,line,3,L3_residential_to_pvA,Open line L3_residential_to_pvA,True,True,solved,0.965878229961735,1.000099838909223,0.3340958774448258,71.05455665883285,0.09244431084323487,0.0,0.0,0,False,False,False,False,False,False,False,False,0.0,True
evening_peak_bess_discharge,1.35,1.05,1.2,1.0,0.05,0.009,grid_connected,line_6_out,line_outage,line,6,L6_ev_to_remote,Open line L6_ev_to_remote,False,False,service_loss_skip,,,,,,0.01566,0.0,1,False,True,False,False,False,False,False,True,0.783,True
evening_peak_bess_discharge,1.35,1.05,1.2,1.0,0.05,0.009,grid_connected,line_7_out,line_outage,line,7,L7_critical_to_medical,Open line L7_critical_to_medical,False,False,service_loss_skip,,,,,,0.014782500000000004,0.014782500000000004,1,False,True,True,False,False,False,False,True,1.0,True
evening_peak_bess_discharge,1.35,1.05,1.2,1.0,0.05,0.009,grid_connected,pv_0_trip,pv_trip,asymmetric_sgen,0,PV_single_phase_A,Trip PV PV_single_phase_A,True,True,solved,0.9658782332904597,1.0000998389421087,0.3340958759327134,71.05451840332135,0.09244430938122924,0.0,0.0,0,False,False,False,False,False,False,False,False,0.0,True
evening_peak_bess_discharge,1.35,1.05,1.2,1.0,0.05,0.009,grid_connected,pv_1_trip,pv_trip,asymmetric_sgen,1,PV_single_phase_C,Trip PV PV_single_phase_C,True,True,solved,0.9658677769973951,1.000097551321636,0.33260533629416505,71.05566791261182,0.09244376942022554,0.0,0.0,0,False,False,False,False,False,False,False,False,0.0,True
evening_peak_bess_discharge,1.35,1.05,1.2,1.0,0.05,0.009,grid_connected,pv_2_trip,pv_trip,asymmetric_sgen,2,PV_three_phase_remote,Trip PV PV_three_phase_remote,True,True,solved,0.9656887769513683,1.0000990267827317,0.3348531060759296,71.2385385519046,0.09245455293514143,0.0,0.0,0,False,False,False,False,False,False,False,False,0.0,True
evening_peak_bess_discharge,1.35,1.05,1.2,1.0,0.05,0.009,grid_connected,bess_trip,bess_trip,bess_pair,bess_static_setpoint,BESS_static_setpoint,Trip BESS static setpoint,True,True,solved,0.9639213694432953,1.000098670955651,0.3372565394281483,76.40038329428167,0.10145073266810553,0.0,0.0,0,False,False,False,False,False,False,False,False,0.0,True
evening_peak_bess_discharge,1.35,1.05,1.2,1.0,0.05,0.009,grid_connected,pcc_outage,pcc_outage,ext_grid,0,PCC_slack_grid_connected,Disconnect the PCC/slack equivalent,False,False,no_slack_skip,,,,,,0.10023750000000001,0.03948750000000001,5,True,True,True,False,False,False,False,True,1.0,True
bess_charging,0.95,1.0,1.0,1.0,0.75,-0.009,grid_connected,line_0_out,line_outage,line,0,L0_PCC_to_main,Open line L0_PCC_to_main,False,False,service_loss_skip,,,,,,0.0736,0.03465,5,False,True,True,False,False,False,False,True,1.0,True
bess_charging,0.95,1.0,1.0,1.0,0.75,-0.009,grid_connected,line_1_out,line_outage,line,1,L1_main_to_critical,Open line L1_main_to_critical,False,False,service_loss_skip,,,,,,0.05840000000000001,0.03465,4,False,True,True,False,False,False,False,True,1.0,True
bess_charging,0.95,1.0,1.0,1.0,0.75,-0.009,grid_connected,line_2_out,line_outage,line,2,L2_main_to_residential,Open line L2_main_to_residential,False,False,service_loss_skip,,,,,,0.0152,0.0,1,False,True,False,False,False,False,False,True,0.76,True
bess_charging,0.95,1.0,1.0,1.0,0.75,-0.009,grid_connected,line_3_out,line_outage,line,3,L3_residential_to_pvA,Open line L3_residential_to_pvA,True,True,solved,0.9803112188772313,1.001241907110201,0.22277020768589603,46.928729497883346,0.06548422766528891,0.0,0.0,0,False,False,False,False,False,False,False,False,0.0,True
bess_charging,0.95,1.0,1.0,1.0,0.75,-0.009,grid_connected,line_6_out,line_outage,line,6,L6_ev_to_remote,Open line L6_ev_to_remote,False,False,service_loss_skip,,,,,,0.010450000000000001,0.0,1,False,True,False,False,False,False,False,True,0.5225000000000001,True
bess_charging,0.95,1.0,1.0,1.0,0.75,-0.009,grid_connected,line_7_out,line_outage,line,7,L7_critical_to_medical,Open line L7_critical_to_medical,False,False,service_loss_skip,,,,,,0.0095,0.0095,1,False,True,True,False,False,False,False,True,1.0,True
bess_charging,0.95,1.0,1.0,1.0,0.75,-0.009,grid_connected,pv_0_trip,pv_trip,asymmetric_sgen,0,PV_single_phase_A,Trip PV PV_single_phase_A,True,True,solved,0.9803112221156735,1.001241916146981,0.22277020664914948,46.92869561548997,0.06548422672790327,0.0,0.0,0,False,False,False,False,False,False,False,False,0.0,True
bess_charging,0.95,1.0,1.0,1.0,0.75,-0.009,grid_connected,pv_1_trip,pv_trip,asymmetric_sgen,1,PV_single_phase_C,Trip PV PV_single_phase_C,True,True,solved,0.9801533596828301,1.000605386141842,0.19512642068811276,46.94007001989022,0.06548166410874387,0.0,0.0,0,False,False,False,False,False,False,False,False,0.0,True
