row_id,scenario_id,contingency_id,violation_label,severity_score,load_scale,phase_a_factor,phase_b_factor,phase_c_factor,pv_scale,bess_p_discharge_mw,contingency_type,element_table,element_index,base_load_scale,base_phase_a_factor,base_phase_b_factor,base_phase_c_factor,base_pv_scale,base_bess_p_discharge_mw,base_min_vm_pu,base_max_vm_pu,base_max_vuf_percent,base_max_line_loading_percent,base_p_grid_mw,base_q_grid_mvar,base_p_load_mw,base_q_load_mvar,base_p_sgen_mw,base_p_line_loss_mw,base_p_load_a_mw,base_p_load_b_mw,base_p_load_c_mw,base_p_sgen_a_mw,base_p_sgen_b_mw,base_p_sgen_c_mw,base_mode
r0035,phase_b_heavy,line_2_out,1,0.9125,1.0,0.9,1.45,0.9,0.4,0.0,line_outage,line,2,1.0,1.0,1.6,1.0,0.0,0.0,0.9602125648438288,1.000150755644883,0.5258838568339038,75.82769886642686,0.0853120431477554,0.0169411832736507,0.0836,0.01672,0.0,0.0017120443832416,0.0209999999999999,0.0416,0.021,0.0,0.0,0.0,grid_connected
r0036,phase_b_heavy,line_3_out,0,0.0,1.0,0.9,1.45,0.9,0.4,0.0,line_outage,line,3,1.0,1.0,1.6,1.0,0.0,0.0,0.9602125648438288,1.000150755644883,0.5258838568339038,75.82769886642686,0.0853120431477554,0.0169411832736507,0.0836,0.01672,0.0,0.0017120443832416,0.0209999999999999,0.0416,0.021,0.0,0.0,0.0,grid_connected
r0037,phase_b_heavy,line_6_out,1,0.55,1.0,0.9,1.45,0.9,0.4,0.0,line_outage,line,6,1.0,1.0,1.6,1.0,0.0,0.0,0.9602125648438288,1.000150755644883,0.5258838568339038,75.82769886642686,0.0853120431477554,0.0169411832736507,0.0836,0.01672,0.0,0.0017120443832416,0.0209999999999999,0.0416,0.021,0.0,0.0,0.0,grid_connected
r0038,phase_b_heavy,line_7_out,1,1.0,1.0,0.9,1.45,0.9,0.4,0.0,line_outage,line,7,1.0,1.0,1.6,1.0,0.0,0.0,0.9602125648438288,1.000150755644883,0.5258838568339038,75.82769886642686,0.0853120431477554,0.0169411832736507,0.0836,0.01672,0.0,0.0017120443832416,0.0209999999999999,0.0416,0.021,0.0,0.0,0.0,grid_connected
r0039,phase_b_heavy,pv_0_trip,0,0.0,1.0,0.9,1.45,0.9,0.4,0.0,pv_trip,asymmetric_sgen,0,1.0,1.0,1.6,1.0,0.0,0.0,0.9602125648438288,1.000150755644883,0.5258838568339038,75.82769886642686,0.0853120431477554,0.0169411832736507,0.0836,0.01672,0.0,0.0017120443832416,0.0209999999999999,0.0416,0.021,0.0,0.0,0.0,grid_connected
r0040,phase_b_heavy,pv_1_trip,0,0.0,1.0,0.9,1.45,0.9,0.4,0.0,pv_trip,asymmetric_sgen,1,1.0,1.0,1.6,1.0,0.0,0.0,0.9602125648438288,1.000150755644883,0.5258838568339038,75.82769886642686,0.0853120431477554,0.0169411832736507,0.0836,0.01672,0.0,0.0017120443832416,0.0209999999999999,0.0416,0.021,0.0,0.0,0.0,grid_connected
r0041,phase_b_heavy,pv_2_trip,0,0.0,1.0,0.9,1.45,0.9,0.4,0.0,pv_trip,asymmetric_sgen,2,1.0,1.0,1.6,1.0,0.0,0.0,0.9602125648438288,1.000150755644883,0.5258838568339038,75.82769886642686,0.0853120431477554,0.0169411832736507,0.0836,0.01672,0.0,0.0017120443832416,0.0209999999999999,0.0416,0.021,0.0,0.0,0.0,grid_connected
r0042,phase_b_heavy,bess_trip,0,0.0,1.0,0.9,1.45,0.9,0.4,0.0,bess_trip,bess_pair,bess_static_setpoint,1.0,1.0,1.6,1.0,0.0,0.0,0.9602125648438288,1.000150755644883,0.5258838568339038,75.82769886642686,0.0853120431477554,0.0169411832736507,0.0836,0.01672,0.0,0.0017120443832416,0.0209999999999999,0.0416,0.021,0.0,0.0,0.0,grid_connected
r0043,phase_b_heavy,pcc_outage,1,1.0,1.0,0.9,1.45,0.9,0.4,0.0,pcc_outage,ext_grid,0,1.0,1.0,1.6,1.0,0.0,0.0,0.9602125648438288,1.000150755644883,0.5258838568339038,75.82769886642686,0.0853120431477554,0.0169411832736507,0.0836,0.01672,0.0,0.0017120443832416,0.0209999999999999,0.0416,0.021,0.0,0.0,0.0,grid_connected
r0044,evening_peak_bess_discharge,line_0_out,1,1.0,1.35,1.05,1.2,1.0,0.05,0.009,line_outage,line,0,1.3,1.0,1.2,1.0,0.1,0.008,0.9668223912306768,1.0000990981676174,0.3425528634838798,68.5671560543988,0.0869790302338403,0.0192399133332307,0.09516,0.019032,0.0098,0.0016190308420448,0.0273,0.04056,0.0273,0.0034666666666666,0.0028666666666666,0.0034666666666666,grid_connected
