threshold,TP,FP,TN,FN,recall,precision,fnr,pf_calls_saved_fraction,missed_violations,model
0.725,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.73,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.735,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.74,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.745,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.75,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.755,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.76,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.765,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.77,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.775,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.78,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.785,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.79,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.795,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.8,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.805,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.81,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.8150000000000001,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.8200000000000001,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.8250000000000001,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.8300000000000001,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.835,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.84,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.845,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.85,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.855,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.86,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.865,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.87,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.875,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.88,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.885,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.89,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.895,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.9,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.905,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.91,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.915,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.92,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.925,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.93,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.935,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.9400000000000001,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.9450000000000001,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.9500000000000001,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.9550000000000001,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.96,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.965,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.97,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.975,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.98,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.985,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.99,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.9911509156227112,11,0,7,0,1.0,1.0,0.0,0.3888888888888889,0,BaselineMLP
0.9942296743392944,10,0,7,1,0.9090909090909091,1.0,0.09090909090909091,0.4444444444444444,1,BaselineMLP
0.995,9,0,7,2,0.8181818181818182,1.0,0.18181818181818182,0.5,2,BaselineMLP
0.9972779154777527,9,0,7,2,0.8181818181818182,1.0,0.18181818181818182,0.5,2,BaselineMLP
0.9984344840049744,8,0,7,3,0.7272727272727273,1.0,0.2727272727272727,0.5555555555555556,3,BaselineMLP
0.9984642267227173,7,0,7,4,0.6363636363636364,1.0,0.36363636363636365,0.6111111111111112,4,BaselineMLP
0.999016284942627,6,0,7,5,0.5454545454545454,1.0,0.45454545454545453,0.6666666666666666,5,BaselineMLP
